sim,final_equity,return_pct
613,16326.673309322947,63.26673309322947
614,25567.527209397074,155.67527209397073
615,17160.9430424594,71.609430424594
616,10958.475117263415,9.584751172634151
617,18959.550823109064,89.59550823109065
618,16326.673309322936,63.266733093229355
619,16326.673309322943,63.26673309322943
620,13375.927751296524,33.759277512965234
621,14777.83484156339,47.7783484156339
622,22017.01232110724,120.1701232110724
623,18037.84276974353,80.3784276974353
624,17160.943042459392,71.60943042459392
625,18037.84276974353,80.3784276974353
626,14777.834841563394,47.778348415633936
627,14059.418592578582,40.59418592578582
628,18037.842769743525,80.37842769743526
629,10958.475117263415,9.584751172634151
630,17160.943042459403,71.60943042459404
631,15532.96113679989,55.3296113679989
632,19928.35684414644,99.28356844146441
633,18037.842769743525,80.37842769743526
634,18959.55082310907,89.59550823109072
635,14777.834841563395,47.77834841563396
636,14777.834841563397,47.77834841563398
637,18037.84276974353,80.3784276974353
638,16326.673309322947,63.26673309322947
639,14777.834841563388,47.77834841563388
640,18959.55082310907,89.59550823109072
641,18959.550823109064,89.59550823109065
642,14059.418592578582,40.59418592578582
643,17160.9430424594,71.609430424594
644,18037.842769743515,80.37842769743514
645,16326.673309322947,63.26673309322947
646,17160.943042459403,71.60943042459404
647,22017.01232110722,120.17012321107221
648,16326.673309322943,63.26673309322943
649,13375.927751296513,33.75927751296513
650,12107.013315962611,21.07013315962611
651,17160.943042459396,71.60943042459395
652,18037.842769743525,80.37842769743526
653,14059.41859257859,40.594185925785894
654,14777.83484156339,47.7783484156339
655,14059.41859257859,40.594185925785894
656,20946.66747186755,109.4666747186755
657,17160.943042459392,71.60943042459392
658,9918.89360007146,-0.8110639992853975
659,22017.012321107224,120.17012321107224
660,16326.673309322945,63.266733093229455
661,14777.834841563395,47.77834841563396
662,19928.35684414643,99.2835684414643
663,23142.050266412563,131.42050266412565
664,14777.83484156339,47.7783484156339
665,18959.550823109083,89.59550823109083
666,13375.927751296516,33.75927751296516
667,18959.55082310907,89.59550823109072
668,12725.664438382018,27.256644383820184
669,23142.05026641257,131.4205026641257
670,16326.67330932294,63.2667330932294
671,13375.92775129652,33.759277512965205
672,14059.418592578582,40.59418592578582
673,15532.961136799888,55.32961136799888
674,16326.673309322945,63.266733093229455
675,12725.664438382022,27.256644383820223
676,17160.9430424594,71.609430424594
677,19928.356844146434,99.28356844146434
678,13375.927751296522,33.75927751296522
679,12107.013315962613,21.07013315962613
680,23142.050266412556,131.42050266412556
681,17160.9430424594,71.609430424594
682,19928.35684414644,99.28356844146441
683,14777.834841563397,47.77834841563398
684,20946.66747186755,109.4666747186755
685,14777.834841563394,47.778348415633936
686,16326.673309322941,63.26673309322941
687,13375.92775129652,33.759277512965205
688,13375.927751296525,33.759277512965255
689,18959.550823109064,89.59550823109065
690,13375.92775129652,33.759277512965205
691,18037.842769743525,80.37842769743526
692,20946.66747186754,109.46667471867539
693,19928.356844146445,99.28356844146445
694,16326.673309322941,63.26673309322941
695,12107.013315962617,21.070133159626167
696,14777.834841563388,47.77834841563388
697,18037.84276974353,80.3784276974353
698,19928.35684414644,99.28356844146441
699,18037.84276974353,80.3784276974353
700,14777.834841563395,47.77834841563396
701,17160.943042459392,71.60943042459392
702,15532.961136799884,55.329611367998844
703,14777.83484156339,47.7783484156339
704,18959.55082310907,89.59550823109072
705,18037.842769743518,80.37842769743519
706,18037.842769743536,80.37842769743536
707,19928.356844146434,99.28356844146434
708,14777.83484156339,47.7783484156339
709,18037.84276974352,80.37842769743521
710,12725.66443838202,27.256644383820205
711,13375.927751296513,33.75927751296513
712,15532.961136799891,55.32961136799891
713,14777.834841563386,47.778348415633864
714,17160.94304245939,71.60943042459388
715,13375.927751296513,33.75927751296513
716,16326.673309322952,63.26673309322952
717,16326.67330932295,63.2667330932295
718,14059.41859257858,40.5941859257858
719,20946.66747186754,109.46667471867539
720,19928.35684414645,99.28356844146448
721,17160.9430424594,71.609430424594
722,14059.418592578579,40.59418592578579
723,14777.834841563394,47.778348415633936
724,14777.834841563388,47.77834841563388
725,19928.35684414644,99.28356844146441
726,14777.834841563397,47.77834841563398
727,14059.418592578575,40.59418592578575
728,18037.84276974353,80.3784276974353
729,16326.673309322943,63.26673309322943
730,16326.673309322941,63.26673309322941
731,23142.050266412556,131.42050266412556
732,12725.664438382018,27.256644383820184
733,15532.961136799886,55.32961136799885
734,14777.834841563386,47.778348415633864
735,13375.92775129652,33.759277512965205
736,15532.961136799897,55.329611367998965
737,14777.834841563394,47.778348415633936
738,18037.842769743518,80.37842769743519
739,17160.943042459396,71.60943042459395
740,18959.550823109068,89.59550823109068
741,12107.013315962613,21.07013315962613
742,14777.83484156339,47.7783484156339
743,15532.961136799879,55.32961136799879
744,17160.943042459403,71.60943042459404
745,14059.418592578586,40.59418592578586
746,13375.927751296516,33.75927751296516
747,14777.83484156339,47.7783484156339
748,16326.673309322945,63.266733093229455
749,18959.55082310907,89.59550823109072
750,16326.673309322927,63.26673309322926
751,18037.84276974353,80.3784276974353
752,17160.943042459403,71.60943042459404
753,16326.673309322941,63.26673309322941
754,10958.475117263417,9.584751172634169
755,13375.927751296502,33.75927751296502
756,14059.418592578579,40.59418592578579
757,18037.842769743525,80.37842769743526
758,19928.356844146434,99.28356844146434
759,16326.673309322941,63.26673309322941
760,12107.013315962613,21.07013315962613
761,15532.961136799888,55.32961136799888
762,14059.418592578588,40.59418592578587
763,15532.961136799897,55.329611367998965
764,18037.842769743536,80.37842769743536
765,12107.013315962611,21.07013315962611
766,15532.961136799891,55.32961136799891
767,16326.673309322943,63.26673309322943
768,17160.943042459403,71.60943042459404
769,18959.550823109083,89.59550823109083
770,13375.927751296524,33.759277512965234
771,15532.961136799897,55.329611367998965
772,18037.84276974353,80.3784276974353
773,18037.84276974353,80.3784276974353
774,17160.943042459403,71.60943042459404
